DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
16659,16659,16659,16659
18800,18800,18800,18800
16659,16659,16659,16659
18800,18800,18800,18800
16659,16659,16659,16659
18800,18800,18800,18800
18799,18799,18799,18799
16000,16000,16000,16000
18469,18469,18469,18469
18800,18800,18800,18800
14699,14699,14699,14699
18800,18800,18800,18800
16400,16400,16400,16400
18800,18800,18800,18800
4039,4039,4039,4039
18800,18800,18800,18800
16399,16399,16399,16399
18840,18840,18840,18840
17599,17599,17599,17599
18800,18800,18800,18800
16349,16349,16349,16349
18819,18819,18819,18819
15850,15850,15850,15850
18800,18800,18800,18800
19013,19013,19013,19013
20586,20586,20586,20586
18800,18800,18800,18800
14018,14018,14018,14018
13490,13490,13490,13490
17150,17150,17150,17150
18849,18849,18849,18849
15000,15000,15000,15000
18799,18799,18799,18799
6805,6805,6805,6805
18799,18799,18799,18799
6805,6805,6805,6805
18799,18799,18799,18799
6805,6805,6805,6805
18800,18800,18800,18800
22400,22400,22400,22400
16810,16810,16810,16810
18800,18800,18800,18800
13399,13399,13399,13399
16200,16200,16200,16200
15999,15999,15999,15999
16055,16055,16055,16055
16136,16136,16136,16136
19400,19400,19400,19400
18800,18800,18800,18800
15400,15400,15400,15400
19049,19049,19049,19049
16350,16350,16350,16350
18799,18799,18799,18799
6600,6600,6600,6600
18799,18799,18799,18799
22400,22400,22400,22400
18800,18800,18800,18800
19400,19400,19400,19400
15199,15199,15199,15199
14171,14171,14171,14171
32768,32768,32768,32768
15800,15800,15800,15800
18817,18817,18817,18817
18308,18308,18308,18308
16936,16936,16936,16936
17700,17700,17700,17700
18799,18799,18799,18799
15088,15088,15088,15088
18799,18799,18799,18799
9613,9613,9613,9613
18799,18799,18799,18799
18050,18050,18050,18050
18800,18800,18800,18800
6600,6600,6600,6600
18800,18800,18800,18800
15600,15600,15600,15600
18800,18800,18800,18800
18800,18800,18800,18800
19500,19500,19500,19500
18800,18800,18800,18800
18800,18800,18800,18800
18753,18753,18753,18753
18800,18800,18800,18800
16600,16600,16600,16600
18800,18800,18800,18800
18800,18800,18800,18800
18800,18800,18800,18800
18701,18701,18701,18701
18800,18800,18800,18800
17800,17800,17800,17800
18800,18800,18800,18800
18800,18800,18800,18800
18800,18800,18800,18800
18773,18773,18773,18773
18800,18800,18800,18800
16600,16600,16600,16600
18800,18800,18800,18800
18800,18800,18800,18800
18800,18800,18800,18800
18730,18730,18730,18730
19149,19149,19149,19149
18270,18270,18270,18270
17049,17049,17049,17049
17800,17800,17800,17800
18822,18822,18822,18822
16400,16400,16400,16400
18799,18799,18799,18799
13277,13277,13277,13277
19149,19149,19149,19149
19550,19550,19550,19550
19199,19199,19199,19199
17400,17400,17400,17400
23162,23162,23162,23162
7200,7200,7200,7200
14600,14600,14600,14600
14000,14000,14000,14000
18800,18800,18800,18800
18800,18800,18800,18800
14799,14799,14799,14799
18800,18800,18800,18800
17799,17799,17799,17799
18800,18800,18800,18800
15300,15300,15300,15300
18800,18800,18800,18800
17299,17299,17299,17299
18800,18800,18800,18800
17799,17799,17799,17799
18801,18801,18801,18801
21272,21272,21272,21272
20294,20294,20294,20294
18200,18200,18200,18200
18800,18800,18800,18800
18249,18249,18249,18249
18200,18200,18200,18200
17800,17800,17800,17800
18800,18800,18800,18800
16799,16799,16799,16799
16700,16700,16700,16700
17800,17800,17800,17800
18800,18800,18800,18800
16799,16799,16799,16799
16700,16700,16700,16700
17800,17800,17800,17800
18800,18800,18800,18800
16799,16799,16799,16799
16700,16700,16700,16700
16664,16664,16664,16664
16000,16000,16000,16000
13928,13928,13928,13928
18849,18849,18849,18849
18813,18813,18813,18813
16227,16227,16227,16227
18913,18913,18913,18913
16032,16032,16032,16032
18799,18799,18799,18799
21450,21450,21450,21450
15599,15599,15599,15599
18313,18313,18313,18313
12999,12999,12999,12999
18800,18800,18800,18800
13199,13199,13199,13199
18801,18801,18801,18801
14599,14599,14599,14599
18800,18800,18800,18800
13973,13973,13973,13973
19960,19960,19960,19960
15828,15828,15828,15828
17200,17200,17200,17200
18800,18800,18800,18800
12400,12400,12400,12400
18800,18800,18800,18800
18800,18800,18800,18800
